Ontology ID	label	parent class	definition	definition cross reference	comment	comment cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	cross reference	subclass axiom	creation date	created by
	human-associated environment	ENVO:01001002	An environmental system determined by a human.	https://culturebotai.github.io/HabitatMech/pages/habitats/human-associated-environment-habitatmech-gold-cd0b0940e5.html			Requested by HabitatMech. Attested by BACDIVE, GOLD with 52129 upstream assertions across 1 source concept(s): Human. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. This is the single largest ungrounded concept in the corpus.	Mammals: Human|human host								
	mammal-associated environment	ENVO:01001002	An environmental system determined by a mammal.	https://culturebotai.github.io/HabitatMech/pages/habitats/mammal-associated-environment-habitatmech-gold-e889967f4f.html			Requested by HabitatMech. Attested by GOLD with 6104 upstream assertions across 1 source concept(s): Host-associated > Mammals. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Mammals								
	endothermic-animal-associated environment	ENVO:01001002	An animal-associated environment which is determined by an animal that maintains an elevated, metabolically generated core temperature.	https://culturebotai.github.io/HabitatMech/pages/habitats/endothermic-animal-associated-environment-habitatmech-bacdive-3d543e6b49.html			Requested by HabitatMech. Attested by MADIN with 5130 upstream assertions across 1 source concept(s): host_animal_endotherm. Definition drafted from the record's deep-research report under research/habitats/ and read against it. Madin splits its animal hosts by thermoregulation, which is a real physicochemical distinction for the resident community rather than a taxonomic one, so the differentia is endothermy and not a clade.	host_animal_endotherm								
	bacterium-associated environment	ENVO:01001000	An environmental system determined by a bacterium.	https://culturebotai.github.io/HabitatMech/pages/habitats/bacterium-associated-environment-habitatmech-gold-029baaef9e.html			Requested by HabitatMech. Attested by GOLD with 3017 upstream assertions across 1 source concept(s): Host-associated > Microbial > Bacteria. The habitat is the host clade, and it is the entire content of the concept: GOLD organises host-associated isolates by host and every anatomical path hangs off it. Not grounded to the parent, because every clade would then merge onto one record. Same pattern ENVO already has at plant-, animal- and fungi-associated environment. GOLD's child of Microbial. Parented to the organism root here because its natural parent, microbe-associated environment, is requested in this same batch and does not exist yet — editors should re-parent it if both are minted.	Bacteria								
	upper aerodigestive tract environment	ENVO:2100000	An anatomical entity environment which is determined by the contiguous air- and saliva-exposed lumen extending from the oral cavity to the lower airways of a vertebrate.	https://culturebotai.github.io/HabitatMech/pages/habitats/upper-aerodigestive-tract-environment-habitatmech-bacdive-3974b3f169.html			Requested by HabitatMech. Attested by BACDIVE with 2102 upstream assertions across 1 source concept(s): Oral-cavity-and-airways. Definition drafted from the record's deep-research report under research/habitats/ and read against it. BacDive's label names two sites and the upstream mapping to UBERON:0001005 'respiratory airway' covered only the airways half, dropping the oral cavity. The definition keeps the contiguous lumen both halves belong to.	Oral-cavity-and-airways								
	bird-associated environment	ENVO:01001002	An environmental system determined by a bird.	https://culturebotai.github.io/HabitatMech/pages/habitats/bird-associated-environment-habitatmech-gold-47e603cf4f.html			Requested by HabitatMech. Attested by GOLD with 1848 upstream assertions across 1 source concept(s): Host-associated > Birds. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Birds								
	insect-associated environment	ENVO:01001002	An environmental system determined by an insect.	https://culturebotai.github.io/HabitatMech/pages/habitats/insect-associated-environment-habitatmech-gold-dba2a83b95.html			Requested by HabitatMech. Attested by GOLD with 1833 upstream assertions across 1 source concept(s): Host-associated > Arthropoda: Insects. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Arthropoda: Insects								
	fish-associated environment	ENVO:01001002	An environmental system determined by a fish.	https://culturebotai.github.io/HabitatMech/pages/habitats/fish-associated-environment-habitatmech-gold-3d529a667e.html			Requested by HabitatMech. Attested by GOLD with 1350 upstream assertions across 1 source concept(s): Host-associated > Fish. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Fish								
	ectothermic-animal-associated environment	ENVO:01001002	An animal-associated environment which is determined by an animal whose body temperature tracks that of its surroundings.	https://culturebotai.github.io/HabitatMech/pages/habitats/ectothermic-animal-associated-environment-habitatmech-bacdive-e68bf42dcb.html			Requested by HabitatMech. Attested by MADIN with 999 upstream assertions across 1 source concept(s): host_animal_ectotherm. Definition drafted from the record's deep-research report under research/habitats/ and read against it. The counterpart of the endotherm term in the same Madin split.	host_animal_ectotherm								
	tree-associated environment	ENVO:01001001	An environmental system determined by a tree.	https://culturebotai.github.io/HabitatMech/pages/habitats/tree-associated-environment-habitatmech-bacdive-3192a0f47e.html			Requested by HabitatMech. Attested by BACDIVE with 872 upstream assertions across 1 source concept(s): Tree. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to plant-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. Parented to plant-associated environment rather than the organism root, since a tree is a plant.	Tree								
	mollusc-associated environment	ENVO:01001002	An animal-associated environment which is determined by a mollusc or by a part of a mollusc.	https://culturebotai.github.io/HabitatMech/pages/habitats/mollusc-associated-environment-habitatmech-gold-6acc0797e9.html			Requested by HabitatMech. Attested by GOLD with 784 upstream assertions across 1 source concept(s): Host-associated > Mollusca. Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. Host taxon freed from NOT_APPLICABLE by #114.	Mollusca								
	invertebrate-associated environment	ENVO:01001002	An environmental system determined by an invertebrate.	https://culturebotai.github.io/HabitatMech/pages/habitats/invertebrate-associated-environment-habitatmech-gold-4d792ac724.html			Requested by HabitatMech. Attested by GOLD with 621 upstream assertions across 1 source concept(s): Host-associated > Invertebrates. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. Invertebrate is a grade rather than a clade, but it is the grouping both sources use and the request records that rather than inventing a taxonomy they do not have.	Invertebrates								
	bovine-associated environment	ENVO:01001002	An animal-associated environment which is determined by a bovine.	https://culturebotai.github.io/HabitatMech/pages/habitats/bovine-associated-environment-habitatmech-bacdive-a4a67c4a7f.html			Requested by HabitatMech. Attested by BACDIVE with 619 upstream assertions across 1 source concept(s): Bovinae-Cow,-Cattle. Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. BacDive's cattle host category.	Bovinae-Cow,-Cattle								
	crustacean-associated environment	ENVO:01001002	An environmental system determined by a crustacean.	https://culturebotai.github.io/HabitatMech/pages/habitats/crustacean-associated-environment-habitatmech-gold-2959225799.html			Requested by HabitatMech. Attested by GOLD with 598 upstream assertions across 1 source concept(s): Host-associated > Arthropoda: Crustaceans. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Arthropoda: Crustaceans								
	myriapod-associated environment	ENVO:01001002	An environmental system determined by a myriapod.	https://culturebotai.github.io/HabitatMech/pages/habitats/myriapod-associated-environment-habitatmech-gold-2333d6225a.html			Requested by HabitatMech. Attested by GOLD with 569 upstream assertions across 1 source concept(s): Host-associated > Arthropoda: Myriapoda. The habitat is the host clade, and it is the entire content of the concept: GOLD and BacDive both organise host-associated isolates by host, and every downstream anatomical path hangs off it. HabitatMech deliberately does not ground these to animal-associated environment, because every clade would then merge onto one record and the distinction the sources are making would be lost. ENVO already has this shape at plant-, animal- and fungi-associated environment; this asks for the same pattern one level down. 	Arthropoda: Myriapoda								
	suid-associated environment	ENVO:01001002	An animal-associated environment which is determined by a suid.	https://culturebotai.github.io/HabitatMech/pages/habitats/suid-associated-environment-habitatmech-bacdive-3a13ee8a57.html			Requested by HabitatMech. Attested by BACDIVE with 521 upstream assertions across 1 source concept(s): Suidae-Pig,Swine. Definition drafted from the record's deep-research report under research/habitats/ and read against it; the report's proposed wording, genus and near-miss table are the evidence. The report's proposed genus was 'mammal-associated environment', which does not exist and is itself requested in this batch; parented to animal-associated environment until it does. Its first-listed genus CURIE was ENVO:00003042 piggery, which is the farm building rather than the host, and is not what the definition says.	Suidae-Pig,Swine								
